Initial state,P(Loser = Player 1)
"(1, 15, 10)",6563429/7174452
"(1, 15, 11)",752921511748357872189135/821581841487258106759759
"(1, 15, 12)",243407/265356
"(1, 15, 13)",17/18
"(1, 15, 14)",198265807103079/205891146443557
"(1, 15, 15)",26/27
"(1, 15, 16)",113725/118098
"(1, 15, 17)",6222002643348748021848045/6461081889229215164760571
"(1, 15, 18)",767673/797161
"(1, 15, 19)",209874524/217923615
"(1, 15, 20)",57099/59293
"(1, 15, 21)",26/27
"(1, 15, 22)",729/757
"(1, 15, 23)",933991629985064751180069813879349399635849/969773729787523602877806713066264426793043
"(1, 15, 24)",11016431283621/11438396227480
"(1, 15, 25)",15807218464433680217/16412848369726136436
"(1, 15, 26)",29769111927849249711022399876749/30903154382632617920981208359053
"(1, 15, 27)",93307769/96855102
"(1, 15, 28)",1190113926645865/1235346792567894
"(1, 15, 29)",11019789985953/11438396227480
"(1, 15, 30)",136046803109/141214738716
"(1, 15, 31)",186621161/193710240
"(1, 15, 32)",11534375358868340149327731948652881948837/11972515182562019788712159015848559464891
"(1, 15, 33)",124414112/129140163
"(1, 15, 34)",1053/1093
"(1, 15, 35)",8538428101706480065395/8862938119746644274757
"(1, 15, 36)",13823486/14348907
"(1, 15, 37)",4897539186593/5083731656658
"(1, 15, 38)",11711643990181289949/12157665462543713203
"(1, 15, 39)",26/27
"(1, 15, 40)",1405/1458
"(1, 15, 42)",1593875/1653372
