Initial state,P(Loser = Player 1)
"(1, 16, 14)",110084128132872875109996032563259217480944820801696793275472210280562414455874984/174772675430178374555854751414038185949454217749495465591344704262064230788888197
"(1, 16, 16)",64870753095872125583482428238460061903050095831923869215917384458871062104719217052/122822591897773440413161930882052440364139770964292720246221750269184233191066339805
"(1, 17, 1)",1067304782563021396559798434/2142291257709925182654297777
"(1, 17, 2)",4284827905625134243422857147044029735919/7303141811389449270142169303706830902572
"(1, 17, 3)",194662914214414266874322317079857/316846854002128384094529548366613
"(1, 17, 4)",3043282754426849054967782214490530148544117738/4840614112275651574644283919617976062443498141
"(1, 17, 5)",796078626094719878487092559142857545451140/1262067595483521494008044287289057444534963
"(1, 17, 6)",16575359565579926009539105431688268106002620086044120560/26349741105422714526659239380113474611809290223256934961
"(1, 17, 7)",97671926599046150213009908409038235035708552338631/152406269486935462759201661438781037925291913876570
"(1, 17, 8)",372888178944857961096844998513792267324385996459385774762986336914073/578490913819565390427660543917611979983225499010191307585156260494986
"(1, 17, 9)",21408754304892051953064201414517204197121424989053563422/33140322563104141717723555603947549589162774661067644511
"(1, 17, 10)",418922731904200450528041707194348377275153251843437756102034918160768496364270679/650601217491802300436959194816660273443895106112585651284984080366466613120808936
"(1, 17, 11)",1736208103935079112317130972001660125070605942765716142108176480436174/2691046856801179827140133526622006078407739804748009381079031620022091
"(1, 17, 12)",1990727262101584886076043382302716469242057018448054379110496980257983785591819279813/3088949903382878597605910325782036553600536652746954938836908693358588260807341217724
"(1, 17, 13)",336991905278092919166932520570391565727405932664887173577052145671209535087548392/524318026290535123667564254242114557848362653248486396774034112786192692366664591
"(1, 17, 15)",15503685044039625351977257733111053247594265171285667852932487648401263415088625743/24564518379554688082632386176410488072827954192858544049244350053836846638213267961
"(1, 18, 1)",42158656716086853639363655382735325877/84592376193700184596241343286179508524
"(1, 18, 2)",20687868410086046172078431118435/35205206000236487121614394262957
"(1, 18, 3)",5947481058253457507443784198948737266045136571/9681228224551303149288567839235952124886996282
"(1, 18, 4)",264829019395020270836700026102241265383703/420689198494507164669348095763019148178321
"(1, 18, 5)",16657524135671761514032262142454547416718324429236496026/26349741105422714526659239380113474611809290223256934961
"(1, 18, 6)",31396843526503836657645210008702179256936481096599/50802089828978487586400553812927012641763971292190
"(1, 18, 7)",184596439892803032581128598868171631161843443505992814173756182471958/289245456909782695213830271958805989991612749505095653792578130247493
"(1, 18, 8)",7125529734479919017819486256836386158839491213420791596/11046774187701380572574518534649183196387591553689214837
"(1, 18, 9)",70048999037196994970903974067234134540078758570219832417313073948142967061719231/108433536248633716739493199136110045573982517685430941880830680061077768853468156
"(1, 18, 10)",193326532913455764506866776924977811718626463650765675080376569921420/299005206311242203015570391846889564267526644972001042342114624446899
"(1, 18, 11)",166064846004096920846475110106921487699079322812544070601666299594260983131438852345/257412491948573216467159193815169712800044721062246244903075724446549021733945101477
"(1, 18, 12)",112954882644215600946150642526043356123399224777523511069691372589583505921635948/174772675430178374555854751414038185949454217749495465591344704262064230788888197
"(1, 18, 14)",79059848578186404935891604756764365790033027119127696570369245070837492053184258791/122822591897773440413161930882052440364139770964292720246221750269184233191066339805
"(1, 19, 1)",52665578744865999131369043302476/105615618000709461364843182788871
"(1, 19, 2)",6639791456493639067248437641701967736325387395/11294766261976520340836662479108610812368162329
"(1, 19, 3)",1551583789329610507164228643250697372924467/2524135190967042988016088574578114889069926
"(1, 19, 4)",5533253256793464555182077831346413492658842680086559886/8783247035140904842219746460037824870603096741085644987
"(1, 19, 5)",16124420157691959853914321326580426834054296853893/25401044914489243793200276906463506320881985646095
"(1, 19, 6)",60626012521376526918447315229577758301293510329135810808473836814939/96415152303260898404610090652935329997204249835031884597526043415831
"(1, 19, 7)",21190670622696171098254202932527523626816853168151290619/33140322563104141717723555603947549589162774661067644511
"(1, 19, 8)",628607894161316140334017749922944409079661075880745203829995554603669686752335281/975901826237703450655438792224990410165842659168878476927476120549699919681213404
"(1, 19, 9)",302612275641842012026995760380226548235951126201648097510042782607099/468008149008900839502631917673392361462215618217045109752875064351668
"(1, 19, 13)",1910056255774184131316131754081677376197572997767476315693571080596574699664252355271/2947742205546562569915886341169258568739354503143025285909322006460421596585592155320
"(1, 20, 1)",4828341679084895179775879122094772347085221363/9681228224551303149288567839235952124886996282
"(1, 20, 2)",247416569018327274042905257689024258457340/420689198494507164669348095763019148178321
"(1, 20, 3)",16174325027582350499957528292094464140251251770213821588/26349741105422714526659239380113474611809290223256934961
"(1, 20, 4)",32042590777992951666147797600500679876138106408427/50802089828978487586400553812927012641763971292190
"(1, 20, 5)",16712884389332794818986975022034349673009807783509921439091149531601/26295041537252972292166388359891453635601159045917786708416193658863
"(1, 20, 6)",7028204967453388751858069218691839862282122853136204703/11046774187701380572574518534649183196387591553689214837
"(1, 20, 7)",206222588325591991034510293067273616735661983100416479817241331716678954762347917/325300608745901150218479597408330136721947553056292825642492040183233306560404468
"(1, 20, 8)",577860779127268268953624433341795272709181028587966252309315932639721/897015618933726609046711175540668692802579934916003127026343873340697
"(1, 20, 9)",1998227268012958729129049776012028585611784069576422387424968048564298606934402362719/3088949903382878597605910325782036553600536652746954938836908693358588260807341217724
"(1, 20, 10)",113303545267066986518779126695363815963904351271130146613604562423246244141828763/174772675430178374555854751414038185949454217749495465591344704262064230788888197
"(1, 20, 12)",317529900751642230665741661133831091577750174420139676495284346356656561039304664231/491290367591093761652647723528209761456559083857170880984887001076736932764265359220
"(1, 21, 1)",1259118509176500261011627732539857328979077/2524135190967042988016088574578114889069926
"(1, 21, 2)",36172274970317893933103612101897659317100519793749301962/61482729245986333895538225220264774094221677187599514909
"(1, 21, 3)",15548892881748879629331565699619926025740563053444/25401044914489243793200276906463506320881985646095
"(1, 21, 4)",26057249585256540196699192225664466881413215246911959743027914081905/41320779558540385030547181708400855713087535643585093398939732892499
"(1, 21, 5)",42175362339100732461896902739788414463502590370607729937/66280645126208283435447111207895099178325549322135289022
"(1, 21, 6)",22219016754818270056159285519730317727003151603219053644819392256671763808790239/34853636651346551809122814008035371791637237827459945604552718591060711417186193
"(1, 21, 7)",1117352663559944929620064890142043735698780794875697848898635046700589/1794031237867453218093422351081337385605159869832006254052687746681394
"(1, 21, 9)",339301710968639128436243736207743303856307464941567304036182031241277355108055973/524318026290535123667564254242114557848362653248486396774034112786192692366664591
"(1, 21, 11)",638628621460549066136232752021031824266897906316482743465350509534533645369940318891/982580735182187523305295447056419522913118167714341761969774002153473865528530718440
"(1, 22, 1)",13146264968915973863413338489843336091521440507870468489/26349741105422714526659239380113474611809290223256934961
"(1, 22, 2)",14952393461576463348554087596591300735170052945487/25401044914489243793200276906463506320881985646095
"(1, 22, 3)",24915275778607547403689829760507466871158271666057351736047093842659/40595853601373009854572669748604349472507052562118688251589913017192
