Initial state,P(Loser = Player 1)
"(8, 8, 1)",1/18
"(8, 8, 2)",1/9
"(8, 8, 3)",1/6
"(8, 8, 4)",1/6
"(8, 8, 5)",1/6
"(8, 8, 6)",1/6
"(8, 8, 7)",1/6
"(8, 8, 8)",1/3
"(8, 8, 9)",1/2
"(8, 8, 10)",1/2
"(8, 9, 1)",9/121
"(8, 9, 2)",1/6
"(8, 9, 3)",2/9
"(8, 9, 4)",9/40
"(8, 9, 5)",189/820
"(8, 9, 6)",170/729
"(8, 9, 7)",459795644113077/1853020231898563
"(8, 9, 8)",1/2
"(8, 9, 9)",2/3
"(8, 9, 10)",547730961896417095902267/821581841487258106759759
"(8, 10, 1)",3/40
"(8, 10, 2)",1/6
"(8, 10, 3)",778047663/3486843451
"(8, 10, 4)",2/9
"(8, 10, 5)",113/486
"(8, 10, 6)",14661/59293
"(8, 10, 7)",23/90
"(8, 10, 8)",1/2
"(8, 10, 9)",547730961896417095902267/821581841487258106759759
"(8, 10, 10)",2/3
"(9, 1, 1)",0
"(9, 1, 2)",181/59293
"(9, 1, 3)",1/162
"(9, 1, 4)",0
"(9, 1, 5)",1/91
"(9, 1, 6)",739/29524
"(9, 1, 7)",10/363
"(9, 1, 8)",4/121
"(9, 1, 9)",1/18
"(9, 1, 10)",2/27
"(9, 2, 1)",181/59293
"(9, 2, 2)",0
"(9, 2, 3)",1/91
"(9, 2, 4)",1186021/43053283
"(9, 2, 5)",4/121
"(9, 2, 6)",4/121
"(9, 2, 7)",31/1093
"(9, 2, 8)",0
"(9, 2, 9)",1/18
"(9, 2, 10)",30445/368089
"(9, 3, 1)",1/162
"(9, 3, 2)",1/91
"(9, 3, 3)",0
"(9, 3, 4)",811/29524
"(9, 3, 5)",9/121
"(9, 3, 6)",1/13
"(9, 3, 7)",271/3280
"(9, 3, 8)",5/54
"(9, 3, 9)",1/6
"(9, 3, 10)",35435/159432
"(9, 4, 1)",0
"(9, 4, 2)",1186021/43053283
"(9, 4, 3)",811/29524
"(9, 4, 4)",0
"(9, 4, 5)",4/121
"(9, 4, 6)",253/3280
"(9, 4, 7)",8/81
"(9, 4, 8)",1/10
"(9, 4, 9)",1/6
"(9, 4, 10)",39536/177147
"(9, 5, 1)",1/91
"(9, 5, 2)",4/121
"(9, 5, 3)",9/121
"(9, 5, 4)",4/121
"(9, 5, 5)",0
"(9, 5, 6)",1/18
"(9, 5, 7)",291274129/3486843451
"(9, 5, 8)",1/10
"(9, 5, 9)",1/6
"(9, 5, 10)",417458763188731/1853020231898563
"(9, 6, 1)",739/29524
"(9, 6, 2)",4/121
"(9, 6, 3)",1/13
"(9, 6, 4)",253/3280
"(9, 6, 5)",1/18
"(9, 6, 6)",0
"(9, 6, 7)",4131/53144
"(9, 6, 8)",437/4374
"(9, 6, 9)",1/6
"(9, 6, 10)",252/1093
"(9, 7, 1)",10/363
"(9, 7, 2)",31/1093
"(9, 7, 3)",271/3280
"(9, 7, 4)",8/81
"(9, 7, 5)",291274129/3486843451
"(9, 7, 6)",4131/53144
"(9, 7, 7)",0
"(9, 7, 8)",157849086721609/1853020231898563
"(9, 7, 9)",1/6
"(9, 7, 10)",2294/9837
"(9, 8, 1)",4/121
"(9, 8, 2)",0
"(9, 8, 3)",5/54
"(9, 8, 4)",1/10
"(9, 8, 5)",1/10
"(9, 8, 6)",437/4374
"(9, 8, 7)",157849086721609/1853020231898563
"(9, 8, 8)",0
"(9, 8, 9)",1/6
"(9, 8, 10)",203862533730764390997961/821581841487258106759759
"(9, 9, 1)",1/18
"(9, 9, 2)",1/18
"(9, 9, 3)",1/6
"(9, 9, 4)",1/6
"(9, 9, 5)",1/6
"(9, 9, 6)",1/6
"(9, 9, 7)",1/6
"(9, 9, 8)",1/6
"(9, 9, 9)",1/3
"(9, 9, 10)",1/2
"(9, 10, 1)",2/27
